Day	Timeslot	Room	Workshop_or_Talk	Title	Description	Owner	Second_Speaker	language	first_time_speaker	Category	slide_url	image_filename
monday	14:00-15:00	HS2	T	The Combinator Pattern: Elegant Composition for Modern Python Developers	Functional programming encourages us to think in terms of composition - building complex logic from small, pure building blocks. In this talk, we’ll explore how the Combinator Design Pattern helps us achieve exactly that.  Using Python, we’ll go beyond theoretical definitions and implement combinators step by step — starting from simple primitives and evolving them into elegant, reusable, and type-safe abstractions.  Along the way, we’ll analyze how combinators enhance readability, maintainability, and alignment with the Single Responsibility Principle, while offering a modern alternative to conditional logic and inheritance-based designs.  By the end, participants will understand not only how to implement combinators but also how to think compositionally in Python.   The key takeaways are:  + Understand the Combinator Pattern: Learn its conceptual foundation and its role in functional programming and software design.  + Practical Implementation in Python: See how to build combinators step by step, leveraging lambdas, higher-order functions, and immutability.  + Achieve Clean and Reusable Code: Discover how combinators promote clarity, separation of concerns, and compliance with SOLID principles.  + Adopt a Compositional Mindset: Leave with concrete insights on writing expressive, declarative Python code that scales elegantly across real-world projects.	Haim Michael		English				Haim_Michael
sunday	10:00-11:00	HS3	T	How Small Can Smart Be? Visual Text Reasoning with LLMs Using Python	Artisitc image inference, especially comic books, are one of the hardest multimodal domains. They mix stylized art, fragmented text, visual storytelling, and weakly aligned captions. In my research, I evaluated small language models and vision language models on large comic datasets such as COMICS and Manga109, using retrieval and grounding tasks inspired by the LoCU framework.  This talk focuses on how to implement this entire research pipeline in Python: - Data loading and preprocessing for multimodal datasets - Panel and speech bubble alignment strategies - Feature extraction with small vision and text encoders - Vector search using local databases like Chroma or FAISS - Evaluation with Recall@K, nDCG@K, and string similarity metrics - Error analysis to understand where small models fail and why  Instead of treating multimodal AI as black box magic, we will treat it as an engineering problem. The audience will leave with concrete Python patterns for building scalable, testable multimodal experiments, and a realistic view of what small models can and cannot do in visual reasoning tasks.	Syed Ansab Waqar Gillani		English				Syed_Ansab_Waqar_Gillani
sunday	11:00-12:00	HS3	T	Multi-lingual advanced search in Django without Cloud		Thomas Aglassinger		English				#REF!
sunday	14:00-15:00	HS3	T	From Marketboard to MCP: Building an LLM-Powered Advisor for Final Fantasy 14 with Python	What happens when you take a niche gaming problem, figuring out when and how to sell items on Final Fantasy XIV's player-driven marketplace, and solve it with an LLM-powered Python backend? You end up learning a lot about what it actually takes to make AI advice useful. In this talk, I'll walk through the full journey of building a marketboard advisor: from syncing in-game inventory and aggregating price trends, to structuring that data in a way an LLM can reason about, to exposing it through MCP tools and a ChatGPT integration on my website. The game is just the domain, the lessons around designing for LLM consumption, building MCP tools, and knowing where AI adds value (and where it doesn't) apply to any advisory system you might build in Python.	Brandon Gier		English	Checked			Brandon_Gier
sunday	15:00-16;00	HS3	T	Python Decorators: From Syntactic Sugar to Production-Grade Design Tool	Decorators are one of Python’s most powerful and often misunderstood features. Beyond simple logging examples, decorators enable clean separation of concerns, cross-cutting behavior injection, and framework-level extensibility. In this talk, we will build a precise mental model of how decorators work at runtime. We will move from basic function decorators to parameterized decorators, class decorators, and decorator factories. Real production use cases will be demonstrated. We will conclude with an overview of the best practices to consider when developing new decorators.	Haim Michael		English				Haim_Michael
sunday	16:00-17:00	HS3	T	Logging module adventures	Logging module seems a little bit odd. If you would like to understand its logic - join me on my journey into the depths of Python logging. I will share learnings from my own adventure, driven by curiosity and need to add context to long running tasks' logs.	Konrad Gawda		English				Konrad_Gawda
sunday	10:00-11:00	HS4	T	Ein Raspberry Pi: Nice, Hunderte davon: Crazy – Wie man mit Raspberry Pis (kein) Geld verdient	Viele haben einen Raspberry Pi zum Experimentieren oder für kleinere Anwendungen zu Hause, was für die Umsetzung ein informatisches Interesse und Grundverständnis wie auch die Bereitschaft zum Basteln erfordert. Andererseits ist der Minicomputer eine mehr als ausreichende Hardware, um damit viele Anwendungen umzusetzen, wo diese Bedingungen aber nicht gegeben sind. Franz Knipp betreut eine Flotte von mehreren 100 Geräten, die in ganz Österreich im Einsatz sind, ohne dass er Einsatzorte je selbst gesehen hat. Im Rahmen des Vortrags geht auf die Erfahrungen ein, die er in mehreren Jahren gesammelt hat, beschreibt die Möglichkeiten der Aktualisierung aus der Ferne und die Bereitstellung für die Endkunden als Plug&Play-Geräte.	Franz Knipp		German				#REF!
sunday	11:00-12:00	HS4	T	Alpine Mobility: Bahn zum Berg & Zuugle	Bahn zum Berg’ ist ein gemeinnütziger Verein aus Österreich, der die klimafreundliche Anreise in die Berge mit den Öffis fördert. Eine zentrale Herausforderung dabei: Der Datenraum aus unzähligen Tourenkombinationen und dynamischen Fahrplänen ist riesig. Um dir als Endanwender eine einfach nutzbare Informationsplattform bieten zu können, verarbeiten wir diese Komplexität im Hintergrund vollautomatisch. Dank der Unterstützung österreichischer Ministerien konnten wir in den letzten Jahren zwei starke Plattformen realisieren: www.bahn-zum-berg.at mit Fokus auf den deutschsprachigen Alpenraum und www.zuugle.at, eine multilinguale Suchmaschine für den gesamten Alpenbogen in fünf Sprachen.	Martin Heppner		German				
sunday	14:00-15:00	HS4	T	Programmierer-Weisheiten		Denis Knauf		German				
sunday	15:00-17:00	HS4	W	Philosophischer Mitmach-Workshop: Digitaler Humanismus, soll K.I. alles dürfen?		Michael Wissgott		German				
sunday	10:00-11:00	HS5	T	Running Every Street in Paris with Python and PostGIS	In 2006, Tom Murphy started a project of running every street in Pittsburgh (over 1,500 miles in total). He finished the project in 2022, covering 3661 miles in 269 runs. In this talk, we'll look at how we can do the same in our cities and track our progress, with Paris as an example.  We'll explore how to extract street networks from OpenStreetMap, process GPS tracking data from running activities, and build a system to track progress toward covering every street in a city. We'll dive into challenges like handling GPS inaccuracies, matching runs to streets, and maintaining a database of covered streets.  This talk is aimed at Python developers interested in working with geospatial data using Python libraries like `osmnx`, `shapely`, `geopandas`, and storing it for efficient querying in Postgres and PostGIS.	Vinayak Mehta		English				Vinayak_Mehta
sunday	11:00-12:00	HS5	T	Are we free-threaded ready? Looking at where free-threaded Python fails	Free-threaded Python aims to significantly improve performance, allowing multiple native threads to execute Python bytecode concurrently. In this talk, we will explore the current state of Python's free-threading initiative and assess its practical readiness for widespread adoption.   We begin by exploring the background of free-threaded Python, summarising its origins, current status, and the technical differences distinguishing it from standard Python implementations. A key focus will be examining the compatibility landscape, specifically investigating how many popular third-party libraries are currently prepared for free-threading. We will distinguish between generic pure Python wheels and explicitly free-threaded wheels and I’ll explain how the community can contribute to compatibility verification.   We then critically discuss free-threaded Python's necessity, weighing the disadvantage of increased thread safety concerns (and verification methods) against the promised advantage of speed (including multithreaded profiling).Will free-threaded Python become a critical future direction for the language? How can you contribute? If and how specific projects can immediately benefit from it? Let’s find out together!  Outline:  - Background about free-threaded Python  - Where it started and where are we now  - What are the differences between standard and free-threaded Python - Looking at how many popular libraries are free-threaded ready  - free-threaded wheels vs generic pure Python wheel  - Testing the library built for free-threading compatibility and how you can help - Do we really need free-threaded Python?  - Disadvantage: thread safety - how to verify thread safety of a library  - Advantage: speed up - how to perform multithreaded profiling - Conclusion  - Free-threaded Python is the future, and how you can contribute  - Check if you can take advantage of it and equip yourself Join the discourse and voice out your thoughts	Cheuk Ting Ho		English				Cheuk_Ting_Ho
sunday	14:00-15:00	HS5	T	How Python Powers Data Extraction: Scrapy in Production	Everyone's written a scraper but fewer people have kept one running reliably for months. This talk bridges that gap, taking you from "it works on my machine" to a production data extraction system built with Scrapy, Python's most battle-tested scraping framework.  We'll cover four parts of running Scrapy in production: scheduling your spiders reliably, monitoring for failures before your data pipeline goes silent, scaling up, and wiring your output into a real data pipeline.   If you've used Python and are curious how serious data extraction systems are built, this talk is for you.  What attendees will take away:  A mental model for thinking about scrapers as production services  An overview of scheduling options (cron, Scrapyd, cloud schedulers)  How to detect silent failures and slow spiders before they become a problem  Where scraped data goes next — storage, pipelines, and downstream use, including powering RAG and AI systems	John Rooney		English				John_Rooney
sunday	15:00-16:00	HS5	T	Fair AI from QA: How Testers Can Prevent Algorithmic Bias	In this interactive talk, we will explore how artificial intelligence systems can be affected by hidden biases in data and models, impacting critical decisions such as hiring, loan approvals, or medical diagnoses. Attendees will learn what algorithmic bias is, how to detect it from a QA perspective, and practical strategies to mitigate it.  The session includes a hands-on activity analyzing real datasets, helping participants identify discriminatory patterns and reflect on the ethical role of testers in the AI era.  This talk is essential for QA professionals and developers who want to ensure technology is not only functional but also fair, safe, and transparent.	Manuel Alejandro Ledezma Falcon		English				Manuel_Alejandro_Ledezma_Falcon
sunday	16:00-17:00	HS5	T	The "Flicker Effect": Why Your Model Audits Are Lying to You	Have you ever estimated feature importance in scikit-learn, changed the random_state, and watched your "Top 5" features swap places? This is the "Flicker Effect."  For most Python developers, "shuffling" data (Permutation Importance) is the industry standard for explaining models. But in high-stakes environments like banking or healthcare, stochastic results are a liability. If you can’t get the same answer twice, can you really trust the audit?  In this talk, we move beyond "random shuffling" toward Deterministic Model Auditing. We will explore:  - A Beginner-Friendly Introduction to the Math of Stability: How a "single optimal permutation" makes model explanations 100% reproducible and 30x faster. - The Proxy Problem: How models "sneak in" biased data (like gender or race) through proxy variables, and how to detect this "signal leakage" using Systemic Variable Importance (SVI). - Forensic-Grade AI: How to move from "black-box" guesses to audits that hold up under regulatory scrutiny.  Whether you are a data scientist building models or a developer curious about AI fairness, you will leave with a new framework for making your Python models truly accountable.	Albert Dorador		English	Checked			Albert_Dorador
monday	09:00-10:00	HS5	T	Kafka for Python Devs: From “What is Kafka?” to Production Basics	Kafka shows up everywhere once systems need to move data in real time—but I feel many Python developers shy back from taking a deeper look. In this beginner-friendly talk, I’ll build a clear mental model of Kafka (topics, partitions, offsets, consumer groups, retention) and explain when it’s the right tool—and when it’s too much compared to simpler options like Redis Pub/Sub.  Using two realistic fintech-flavored examples—publishing fixed-cadence price updates and consuming event-driven trades to update derived state—we’ll look at small, readable Python snippets with confluent-kafka: a minimal producer, a minimal consumer, and the patterns that keep them reliable. We’ll cover common pitfalls like auto-commit surprises, rebalances, and “poison” messages, and finish with a practical 80/20 set of tuning knobs (batching, linger, compression, commit strategy).  Attendees will leave with the concepts and patterns needed to confidently build and troubleshoot their first Kafka-based Python service.	Sophie Herrmann		English				#REF!
monday	10:00-11:00	HS5	T	Free Software Is All About Freedom	Free software (often also called open-source software) plays an essential role for almost all modern digital infrastructure. The Python language and most of the Python ecosystem are also free software. But what does that actually mean? Learn about the four essential freedoms, why they matter, and how they lead to the success of free software.  Learn about the motivation and values behind free software. Software is everywhere in modern society, and we all rely on software every day. We all depend on software every day. Big tech companies often abuse our dependence and force unwanted features on us. We should care that people are in control of their own devices and digital lives. Free software communities work hard to provide alternatives and the possibility to escape from vendor lock-in.  Let's get political! Free software is ever more important for democracy and digital sovereignty. Learn about the initiatives of the FSFE (Free Software Foundation Europe), fighting to benefit users and society for 25 years now.	Fiona Ebner	Gregor Horvath	English				#REF!
monday	11:00-12:00	HS5	T	Open edX: the "other" open source LMS	In Europe, most people think of Moodle when they hear think about open source learning management systems. However, there's another! Open edX has been a solid, Python-based LMS for more than a decade, and it has an interesting past, present, and future.   Having worked with up Open edX since 2015, I help run multiple Open edX platforms, develop courseware on Open edX, and am an active contributing community member.   This talk explains Open edX, its architecture, and its community.	Florian Haas		English				Florian_Haas
monday	11:00-12:00	HS5	T	A Python Developer’s Guide to Entity Resolution in the AI Era	Before feed data into an AI, we face the oldest problem in data engineering: How do you know that "Apple Inc.", "Apple Computer", and "Aple Corp" are the same company?  In 2026, it is tempting to throw a massive AI model at this problem. But AI is expensive, slow, and surprisingly bad at catching single-character typos in SKUs or IDs.  This beginner-friendly talk is a survival guide for messy text data. We will explore "Entity Resolution"—the art of linking text records together. We will compare modern AI Embeddings against blazing-fast, 60-year-old math algorithms like Levenshtein distance and Jaro-Winkler. Using Python’s RapidFuzz library, you will learn how to build a highly accurate, lightweight "Hybrid" matching pipeline that cleans your data without needing an expensive GPU.	Artem Sentsov		English		canceled		Artem_Sentsov
monday	14:00-15:00	HS5	T	Tying Up Loose Threads: Making your Project No-GIL Ready	If you messed around with Python's command line options or read the official documentation, you might wonder what the -Xgil option or the PYTHON_GIL environment variable did to your scripts, and whether setting either affects performance. The hubbub on popular wheels such as pyo3, python-zstandard, numpy, uv, cffi, and cython supporting the free-threaded interpreter is no passing fad either. For Pythonistas that don't read PEPs in their spare time or contribute to the cpython project itself, an adventure that delves into a less known, yet jaw-dropping aspect of Python awaits!  Python's Global Interpreter Lock, which determines which single thread can execute native Python code and call C API functions, simplifies writing multithreaded code. However, sticking with this execution model leaves out extra performance afforded by modern multicore CPUs with hyperthreading, as automatic locking and unlocking of the GIL does not scale well with thread counts, especially in performance-sensitive workloads.  The newfangled free-threaded interpreter promises salvation when running either pure Python code or with compiled extensions. General multithreading rules apply (prefer thread-local variables, using locks to prevent simultaneous access of shared data), but when dealing with projects containing compiled extensions that directly or indirectly interface with Python's C API, more porting rules also apply.    Key porting tips, including projects using the Limited API, include: port native code away from C API functions that avoid borrowed references because they aren't thread-safe; modify unit tests to catch concurrency bugs arising from assuming the presence of the GIL; and extend CI coverage of Python interpreters both for testing and to build free-threaded compatible wheels.  Outline: * Introduction (2-3 min.)   * What is the -Xgil option?  * What is the GIL? * What is the free-threaded interpreter? (6-8 min.)   * Global Interpreter Lock: downsides of automatic serialization of parallel workloads  * How to try out the free-threaded interpreter  * Increased parallelism with the no-GIL interpreter with multi-core CPUs * Porting tips (15-18 min)  * Adding a trove classifier in pyproject.toml  * Marking your extension module as supporting no-GIL  * Limited API (and PEP 803)  * Bumping key dependencies, including FFI wheels  * Using locks, mutexes, and atomics in native code to prevent concurrency bugs  * Including pytest-run-parallel to catch threading bugs * Closing Remarks (2 min.)  * Q&A (2 min.)	Charlie Lin		English	Checked			Charlie_Lin
monday	15:00-16:00	HS5	T	The AI Blind Spot: Why Your Vector Search Needs Classic Python Algorithms	In 2026, it is tempting to think Large Language Models and Vector Databases have completely solved text analytics. Just embed your text, run a cosine similarity check, and you’re done, right? Not quite.  While vectors are incredible at understanding meaning, they have a massive blind spot: they are terrible at exactness. If you need to match specific product SKUs, catch slight typos in usernames, or prevent an LLM from hallucinating an ID number, modern AI will often fail where a 60-year-old math algorithm succeeds.  In this beginner-friendly talk, we will explore this "Vector Blind Spot." You will learn why classic string metrics like Levenshtein and Jaro-Winkler are more critical than ever, how to implement them using blazing-fast, modern Python libraries like RapidFuzz.	Artem Sentsov		English				Artem_Sentsov
